Sub_ID	Gut_Hg	cluster	SMA_surface_minable_area	Sex	liver_bw_ratio	kidney_bw_ratio	Delta13C	Delta15N	Cortisol	Hg	MeHg	V	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Rb	Sr	Mo	Ag	Cd	Ba	Tl	Pb	Bi	HI_median	Hg_Deposition
Sub_otter1	415.0429	Cluster4	no	M	68.73198847	13.54466859	-28.28	11.32	1.056179775	3.24	2.58	0.117	11.9	1584	0.053	0.039	14.6	60.9	0.005	0.242	3.1	11.2	0.115	1.31	0.018	0.045	0.025	0.002	0	0.003	95	14.29
Sub_otter2	22.1619	Cluster1	no	F	NA	NA	-28.08	12.15	NA	1.58	NA	0.077	11.6	1199	0.058	0.073	21.9	74.8	0.003	0.15	3.03	25.1	0.014	2.95	0.044	0.031	0	0.003	0.023	0.027	47	15.66
Sub_otter3	79.1806	Cluster1	no	M	NA	NA	-27.66	10.1	5.88976378	4.63	1.98	0.119	27.6	762	0.095	0.049	76	228	0.006	0.312	3.45	40.1	0.086	2.04	0.907	0.177	0.036	0.006	0.017	0.009	47	16.75
Sub_otter4	538.4707	Cluster2	yes	M	58.90909091	12.36363636	-27.37	10	4.548780488	4.99	3.31	0.075	9.5	1744	0.058	0.623	20.6	67.5	0.006	0.125	3.58	14.1	0.078	1.56	0.03	0.029	0.022	0.004	0.024	0	95	17.22
Sub_otter5	540.4773	Cluster3	yes	F	46.82222222	11.82222222	-26.04	9.1	15.78723404	4.21	2.44	0.084	14.5	2147	0.089	1.33	21.3	78.8	0.005	0.094	3.7	13.9	0.092	1.63	0.069	0.011	0.034	0	0.076	0.005	63	15.94
Sub_otter6	249.0661	Cluster4	no	M	47.72	13.84	-31.45	8.71	1.783333333	5.4	NA	0.092	17.1	661	0.071	0	20.2	87.2	0	0.211	2.78	19.9	0.169	3.66	0.014	0.085	0	0	0	0	63	15.94
Sub_otter7	90	Cluster3	yes	F	59.90196078	11.43137255	-25.93	9.91	17.38983051	1.5	0.645	0.141	9.56	1986	0.058	0.067	25.6	74.5	0.004	0.218	2.74	11.3	0.434	1.29	0.063	0.023	0.034	0	0.018	0.007	95	16.75
Sub_otter8	289.2679	Cluster1	yes	M	39.10326087	11.76630435	-25.9	11.11	14.8630137	2.17	1.23	0.126	11.3	916	0.097	0.08	13.7	103.8	0.003	0.235	4.44	12.8	0.221	1.9	0.01	0.169	0.059	0.005	0.024	0.014	95	15.66
Sub_otter9	163.3817	Cluster4	no	F	48.21917808	13.02891933	-25.75	10.68	3.416666667	1.52	NA	0.07	10.1	1500	0	0.092	31.4	78.4	0.004	0.252	2.47	20.9	0.15	1.44	0.133	0.034	0.042	0.002	0	0	63	16.75
Sub_otter10	188.5433	Cluster1	no	M	33.55463347	9.031811895	-25.425	10.995	2.952380952	1.63	0.862	0.076	5.36	1239	0	0.05	17.7	75.2	0.005	0.336	2.32	13.4	0.13	1.45	0.061	0.008	0.087	0	0	0.007	63	16.75
Sub_otter11	105.703	Cluster2	no	F	50.26607539	11.75166297	-23.52	10.06	1.065693431	1.15	0.611	0.085	9.65	2041	0.043	0.096	15.6	76.8	0.011	0.151	2.01	14	1.08	1.73	0.088	0.003	0.327	0	0.014	0.003	63	16.43
Sub_otter12	264.5496	Cluster1	no	M	46.58252427	13.47572816	-23.44	15.25	14.42622951	3.76	NA	0.088	16.4	2259	0.055	0.132	24.1	107.5	0.003	0.42	3.8	5.14	0.568	2.57	0.168	0.016	0.025	0	0.028	0.005	63	14.59
Sub_otter13	210.1067	Cluster2	yes	F	NA	NA	-22.87	12.42	NA	2.45	1.03	0.152	10.6	888	0.071	0.105	25.3	86	0.006	0.091	3.01	13.9	0.24	2.56	0.086	0.086	0.053	0	0.045	0.008	63	14.59
Sub_otter14	207.1649	Cluster1	no	M	59.14507772	14.2746114	-30.71	10.82	NA	2.72	1.84	0.052	15.1	1473	0.047	0.054	15.4	88.8	0.005	0.145	2.78	27.2	0.072	2.49	0.025	0.079	0.048	0.004	0	0	63	12.99
Sub_otter15	313.7358	Cluster1	no	M	81.9375	12.2375	-29.31	11.74	NA	3.04	1.99	0.036	8.96	1248	0	0	15.9	57.5	0.004	0.077	2.3	10.3	0.038	1.65	0.037	0.076	0.025	0.001	0	0	95	15.66
Sub_otter16	132.5181	Cluster3	no	F	40.68421053	12.12280702	-21.43	10.53	NA	5.33	NA	0.05	11.1	1060	0.055	0	23.8	78.6	0.005	0.274	2.78	12.2	0.091	2.57	0.075	0.039	0.043	0	0	0	63	14.29
Sub_otter17	259.5269	Cluster3	no	M	54.425	13.925	-19.985	10.325	7.796791444	3.35	1.16	0.048	10.6	1032	0.056	0	16.8	67.1	0.006	0.142	2.64	13.8	0.065	1.77	0.044	0.124	0.075	0	0	0	47	15.94
Sub_otter18	325.5954	Cluster2	no	F	63.94074074	12.66666667	NA	NA	17.36423841	6.63	3.32	0.044	7.18	1017	0	0	41.4	71.3	0.006	0.156	2.8	23.6	0.089	1.95	0.2	0.026	0.056	0.005	0	0	47	15.94
